ligue,titre,date,heure,cote,choix,equipe
Premier League,wolves-manchester city,16/08,18h25,1.37,2,manchester city
Premier League,chelsea-crystal palace,17/08,14h55,1.46,1,chelsea
LaLiga,mallorca-barcelona,16/08,19h25,1.43,2,barcelona
LaLiga,celta vigo-getafe,17/08,16h55,1.49,1,celta vigo
LaLiga,espanyol-atlético madrid,17/08,21h25,1.42,2,atlético madrid
Serie A,sassuolo-napoli,23/08,18h25,1.41,2,napoli
Serie A,juventus-parme,24/08,20h40,1.32,1,juventus
Liga Portugal,braga-tondela,10/08,21h25,1.32,1,braga
Liga Portugal,porto-vitória,11/08,21h40,1.47,1,porto
Bundesliga 1,leverkusen-hoffenheim,23/08,15h25,1.36,1,leverkusen
