ligue,titre,date,heure,cote,choix,equipe
L1 Uber Eats,nice-toulouse,16/08,21h00,1.66,1,nice
L1 Uber Eats,brest-lille,17/08,14h55,1.83,2,lille
Premier League,brighton-fulham,16/08,15h55,1.79,1,brighton
LaLiga,athletic club-sevilla,17/08,19h25,1.52,1,athletic club
LaLiga,elche-betis,18/08,20h55,1.88,2,betis
Serie A,genoa-lecce,23/08,18h25,1.86,1,genoa
Serie A,udinese-hellas verona,25/08,18h25,1.88,1,udinese
Liga Portugal,arouca-avs futebol sad,09/08,21h25,1.64,1,arouca
Liga Portugal,estoril-estrela,11/08,19h40,1.78,1,estoril
Bundesliga 1,freiburg-augsburg,23/08,15h25,1.63,1,freiburg
Bundesliga 1,eint frankfurt-werder bremen,23/08,15h25,1.71,1,eint frankfurt
Bundesliga 1,sankt pauli-dortmund,23/08,18h25,1.61,2,dortmund
Bundesliga 1,mainz 05-köln,24/08,15h25,1.62,1,mainz 05
Bundesliga 1,m'gladbach-hambourg,24/08,17h25,1.81,1,m'gladbach
